Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,49.105000,51.189999,48.985001,50.830002,50.274464,65269800
2021-04-06,50.680000,51.639999,50.355000,50.709999,50.155769,60303400
2021-04-07,50.514999,51.490002,50.049999,51.084999,50.526672,49493600
2021-04-08,52.459999,52.770000,52.049999,52.680000,52.104244,56809600
2021-04-09,52.009998,53.730000,51.660000,53.634998,53.048801,64719200
2021-04-12,53.150002,53.619999,52.490002,53.424999,52.841103,54816000
2021-04-13,54.189999,55.500000,54.060001,55.255001,54.651100,57511000
2021-04-14,55.395000,55.465000,52.880001,53.314999,52.732300,80613800
2021-04-15,54.685001,55.884998,54.619999,55.669998,55.061562,60399000
2021-04-16,55.955002,55.994999,54.950001,55.904999,55.293995,58744000
2021-04-19,55.075001,55.685001,53.375000,54.380001,53.785664,79584000
2021-04-20,54.025002,54.660000,52.195000,53.189999,52.608669,79141800
2021-04-21,52.500000,54.615002,52.009998,54.535000,53.938969,55528600
2021-04-22,54.334999,54.814999,51.970001,52.549999,51.975662,87424200
2021-04-23,52.860001,55.160000,52.860001,54.529999,53.934021,53843000
2021-04-26,54.654999,55.735001,54.275002,55.610001,55.002220,49988400
2021-04-27,55.735001,55.834999,54.384998,54.880001,54.280197,59656400
2021-04-28,54.695000,55.200001,53.985001,54.314999,53.721371,59475000
2021-04-29,55.930000,56.115002,53.290001,54.860001,54.260414,74062200
2021-04-30,53.645000,54.900002,53.345001,53.830002,53.241673,59220200
2021-05-03,54.380001,54.744999,52.715000,52.950001,52.371292,67111000
2021-05-04,51.724998,51.845001,48.224998,50.160000,49.611786,105617000
2021-05-05,51.020000,51.424999,49.200001,49.575001,49.033180,68214600
2021-05-06,49.435001,50.740002,48.395000,50.660000,50.106319,84831600
2021-05-07,51.985001,53.040001,51.384998,51.900002,51.332771,79353400
2021-05-10,51.244999,51.330002,47.880001,48.000000,47.475391,92107400
2021-05-11,45.294998,48.119999,45.000000,47.759998,47.238010,114403400
2021-05-12,45.509998,46.575001,43.660000,44.125000,43.642742,118079000
2021-05-13,45.299999,46.334999,44.035000,45.055000,44.562580,104301000
2021-05-14,46.439999,48.445000,46.209999,47.985001,47.460556,72131600
2021-05-17,47.255001,47.580002,45.865002,47.174999,46.659409,69271200
2021-05-18,47.605000,48.139999,46.095001,46.185001,45.680229,65842000
2021-05-19,43.825001,46.494999,43.665001,46.355000,45.848370,95944800
2021-05-20,47.035000,49.430000,46.915001,49.035000,48.499081,69613200
2021-05-21,49.770000,49.965000,48.055000,48.224998,47.697929,64066600
2021-05-24,49.275002,51.169998,49.110001,50.639999,50.086536,46090800
2021-05-25,51.375000,51.720001,50.314999,50.884998,50.328861,53364400
2021-05-26,51.180000,51.619999,50.860001,51.400002,50.838230,39017400
2021-05-27,51.185001,51.580002,50.720001,50.799999,50.244789,41608400
2021-05-28,51.389999,52.049999,51.150002,51.294998,50.734379,40928600
2021-06-01,51.924999,52.150002,50.145000,50.794998,50.239841,51931800
2021-06-02,50.974998,51.485001,50.264999,51.060001,50.501949,41589400
2021-06-03,49.744999,50.334999,48.689999,49.455002,48.914490,60516000
2021-06-04,50.314999,52.195000,50.264999,51.990002,51.421787,45587600
2021-06-07,51.715000,52.485001,51.404999,52.450001,51.876755,31096600
2021-06-08,53.290001,53.709999,51.715000,52.509998,51.936100,46472200
2021-06-09,53.180000,53.560001,52.465000,52.570000,51.995445,38901800
2021-06-10,52.715000,54.250000,52.500000,54.180000,53.587849,58603400
2021-06-11,54.209999,54.619999,53.880001,54.610001,54.013149,34169400
2021-06-14,54.820000,56.185001,54.250000,56.139999,55.526428,45411600
2021-06-15,56.009998,56.169998,54.730000,55.099998,54.497791,45054000
2021-06-16,55.310001,55.834999,52.759998,54.509998,53.914242,78889000
2021-06-17,53.980000,57.040001,53.965000,56.544998,55.927002,72161800
2021-06-18,55.705002,56.290001,54.840000,55.195000,54.591755,71447200
2021-06-21,55.314999,56.400002,54.195000,56.205002,55.590717,53854200
